tree.number	q01.sim	q10.sim	pSpec.sim	q01.fit	q10.fit	pSpec.fit	llik.fit	
95	 0.1	 0.1	 0.4	 0.0995745031669853	 0.180887021380723	 0.319089007511171	 68.6416267170422	 
9	 0.1	 0.1	 0.4	 0.0557614938823767	 0.581611769060568	 0.812931368578005	 56.4059202104817	 
46	 0.1	 0.1	 0.4	 0.0501767600166087	 0.648884001761681	 0.827310543224713	 58.8039005700987	 
21	 0.1	 0.1	 0.4	 0.0652212864015955	 0.628568825276117	 0.56100922068408	 59.4393992308665	 
35	 0.1	 0.1	 0.4	 0.0671188292424967	 0.626776132263985	 0.504353995496759	 55.9306491144821	 
28	 0.1	 0.1	 0.4	 0.0803246386034012	 0.580340501386182	 0.673753815858674	 60.789236410001	 
42	 0.1	 0.1	 0.4	 0.14133359737749	 0.524862631219397	 0.495595478270216	 70.7527153165204	 
32	 0.1	 0.1	 0.4	 0.122800235001851	 0.687611197325426	 1.01385008764432	 78.6798051133556	 
18	 0.1	 0.1	 0.4	 0.0411110669184715	 0.627571810517048	 0.158581543122695	 65.8597801547779	 
3	 0.1	 0.1	 0.4	 0.0836360198375962	 0.684724935384485	 0.134039785282108	 53.1439417294611	 
83	 0.1	 0.1	 0.4	 0.116591440117984	 0.46415888336128	 0.343078359436358	 87.0543183416304	 
58	 0.1	 0.1	 0.4	 0.0906341083728984	 0.164295247136194	 0.483450104001094	 48.7681428784848	 
57	 0.1	 0.1	 0.4	 0.077592824720756	 0.270296140045615	 0.540217017582302	 60.4732750198646	 
97	 0.1	 0.1	 0.4	 0.121670469858823	 0.49271137936308	 0.587119707048829	 81.4309527630696	 
78	 0.1	 0.1	 0.4	 0.0697272886199359	 0.30141625298774	 0.383098094046897	 69.5770305744869	 
90	 0.1	 0.1	 0.4	 0.112741376593279	 0.409732109813543	 0.431910064931084	 68.9723728932116	 
70	 0.1	 0.1	 0.4	 0.107177951645622	 0.372359067609988	 0.319807916058354	 63.5202441482768	 
85	 0.1	 0.1	 0.4	 0.0752333364517188	 0.418375265338124	 0.457585518151208	 59.0645811470187	 
64	 0.1	 0.1	 0.4	 0.121670469858823	 0.350303474126535	 0.495054011388993	 51.8752278067232	 
66	 0.1	 0.1	 0.4	 0.0764422274252601	 0.643181187721508	 0.257272475088603	 71.5925619269541	 
80	 0.1	 0.1	 0.4	 0.0657917284749278	 0.250943307194798	 0.606307174579898	 50.6573131050838	 
63	 0.1	 0.1	 0.4	 0.111293527400449	 0.312041935449991	 0.387616792895832	 65.4073397337202	 
79	 0.1	 0.1	 0.4	 0.151048085944029	 0.211549265907325	 0.238151998324202	 73.6316602478013	 
67	 0.1	 0.1	 0.4	 0.110252090083731	 0.170323949941241	 0.42020301896102	 72.4500360724254	 
73	 0.1	 0.1	 0.4	 0.172353359508473	 0.411702338029597	 0.392607091191853	 61.9763390639797	 
92	 0.1	 0.1	 0.4	 0.0816700379137889	 0.519778009006788	 0.160293137479554	 57.6127621500881	 
75	 0.1	 0.1	 0.4	 0.0630957344480193	 0.292864456462524	 0.633957276984446	 62.3540240582522	 
61	 0.1	 0.1	 0.4	 0.0814733781940544	 0.6595725405655	 0.175778407264513	 74.4965998827479	 
94	 0.1	 0.1	 0.4	 0.0455009372884884	 0.411630284753906	 0.310324145796143	 44.7091103524995	 
100	 0.1	 0.1	 0.4	 0.0734067736481167	 0.647365078335394	 0.421058038197613	 87.7549222900392	 
