tree.number	q01.sim	q10.sim	pSpec.sim	q01.fit	q10.fit	pSpec.fit	llik.fit	
17	 0.001	 0.001	 0.4	 0.00320476254326546	 0.363035302356358	 0.0127467628666516	 12.5053011733795	 
18	 0.001	 0.001	 0.4	 0.00212270885746129	 0.585016627478875	 0.00979200710051119	 12.9405362817774	 
8	 0.001	 0.001	 0.4	 0.00212270885746129	 0.585016627478875	 0.00979200710051119	 12.9403283912203	 
22	 0.001	 0.001	 0.4	 0.00319972359036311	 0.30853369444128	 0.0125208213417096	 11.8532669640479	 
14	 0.001	 0.001	 0.4	 0.00319972359036311	 0.30853369444128	 0.0125208213417096	 11.8564179454686	 
21	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1521054303775	 
51	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.156788025319	 
30	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1476939022676	 
6	 0.001	 0.001	 0.4	 0.00419820680521675	 0.206772537157958	 0.0160752535905893	 9.79401222637342	 
33	 0.001	 0.001	 0.4	 0.00320476254326546	 0.363035302356358	 0.0127467628666516	 12.5068351601462	 
20	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1519396565659	 
36	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1511936802343	 
7	 0.001	 0.001	 0.4	 0.00384519761022719	 0.265130866207708	 0.0112595488707813	 10.9555205365621	 
49	 0.001	 0.001	 0.4	 0.00320476254326546	 0.363035302356358	 0.0127467628666516	 12.5191703259807	 
27	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1511707279292	 
52	 0.001	 0.001	 0.4	 0.00384519761022719	 0.265130866207708	 0.0112595488707813	 10.95686700329	 
23	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1486600514018	 
48	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1489015838639	 
4	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1504110990921	 
9	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1471782965383	 
25	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.146796842631	 
37	 0.001	 0.001	 0.4	 0.00319972359036311	 0.30853369444128	 0.0125208213417096	 11.8579877231098	 
41	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1496082970605	 
38	 0.001	 0.001	 0.4	 0.00320476254326546	 0.363035302356358	 0.0127467628666516	 12.5058476261722	 
42	 0.001	 0.001	 0.4	 0.00298837877769343	 0.309266866437354	 0.0131007534901911	 11.8542199335846	 
15	 0.001	 0.001	 0.4	 0.00320476254326546	 0.363035302356358	 0.0127467628666516	 12.5138620420044	 
34	 0.001	 0.001	 0.4	 0.00323987572329626	 0.322654713239728	 0.0125987315088113	 11.8522933829916	 
12	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1492029034618	 
40	 0.001	 0.001	 0.4	 0.00175957946839336	 0.107168654011567	 0.0221457768949879	 6.40051804756948	 
3	 0.001	 0.001	 0.4	 0.00338337472908725	 0.319630062398287	 0.0129210967644745	 11.8513652722183	 
54	 0.001	 0.001	 0.4	 0.00289267948632121	 0.586812360524747	 0.00650895367711483	 12.9419098514974	 
19	 0.001	 0.001	 0.4	 0.00235915147447729	 0.465897320424757	 0.0121765961017928	 13.1465032026651	 
46	 0.001	 0.001	 0.4	 0.00231594979309606	 0.321837316174887	 0.0140240734256204	 11.8598592436998	 
13	 0.001	 0.001	 0.4	 0.00235850023710603	 0.320587336233953	 0.01358178151882	 11.868514663439	 
16	 0.001	 0.001	 0.4	 0.0032141710650445	 0.261103540166868	 0.012601369744309	 10.9635114335863	 
95	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1500533008051	 
61	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1447349663195	 
91	 0.001	 0.001	 0.4	 0.00212270885746129	 0.585016627478875	 0.00979200710051119	 12.9353395209464	 
82	 0.001	 0.001	 0.4	 0.00235165417676758	 0.523113200069476	 0.0125908142957427	 13.1470582974614	 
50	 0.001	 0.001	 0.4	 4.97502051411986	 1.58232758770296	 0.00219330950161583	 13.6167561284293	 
99	 0.001	 0.001	 0.4	 0.00171132830416179	 0.429866234708225	 0.0136581954953344	 12.939714843724	 
