MATRIX 0-1	Agrimonia eupatoria	Leontodon autumnalis	Lotus corniculatus	Medicago lupulina	Rubus fruticosus	Hypochaeris radicata	Centaurea nigra	Euphrasia officinalis	Linum catharticum	Convulvulus arvensis	Knautia arvensis	Aethusa cynapium	Eupatorium cannabinum	Plantago major	Leontodon saxatilis	Lathyrus pratensis	Clematis vitalba	Senecio jacobaea	Trifolium pratense	Chamerion angustifolium	Leontodon hispidus	Crepis capillaris	Torilis japonica	Angelica sylvertris	Daucus carota
B. muscorum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B. pascuorum	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
B. terrestris	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psithyrus sp.1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apis mellifera	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasitica	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1
Formicidae sp. 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Symphyta sp. 1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1
Unidentified sp. 1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Solitary bees.	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1
Polyommatus icarus	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pyonia tithonus	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pieris brassicae	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Incurvariidae sp. 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Maniola jurtina	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Thymelicus sylvestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Aglais urticae	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
